Lane ID,Max Vehicles
-1000_0,12
-1002_0,25
-1004_0,12
-1025_0,10
-1034_0,13
-109_0,12
-1154_0,11
-1168_0,12
-1186_0,26
-11_0,11
-1209_0,24
-1211_0,28
-1242_0,25
-1249_0,25
-1257_0,11
-131_0,26
-144_0,18
-1469_0,28
-1470_0,18
-148_0,12
-1492_0,25
-1595_0,17
-1597_0,11
-15_0,25
-1604_0,16
-1606_0,17
-1614_0,11
-172_0,12
-1737_0,26
-1739_0,12
-1747_0,12
-1755_0,17
-1758_0,11
-1766_0,24
-1774_0,25
-1775_0,27
-1777_0,29
-184_0,11
-190_0,24
-1915_0,26
-1934_0,12
-1939_0,17
-1940_0,24
-1946_0,25
-1950_0,24
-1956_0,29
-1960_0,11
-1962_0,24
-196_0,25
-1972_0,25
-1974_0,12
-1980_0,11
-1987_0,27
-1988_0,28
-1992_0,31
-1994_0,24
-199_0,24
-202_0,17
-206_0,24
-2126_0,12
-2128_0,25
-2138_0,12
-2149_0,26
-214_0,25
-2165_0,24
-2169_0,17
-2173_0,11
-2182_0,25
-2192_0,12
-2199_0,12
-219_0,17
-2213_0,25
-2220_0,25
-2228_0,29
-2230_0,35
-2232_0,12
-2238_0,25
-2243_0,12
-2251_0,12
-2271_0,12
-2273_0,25
-229_0,12
-2316_0,26
-27_0,11
-334_0,25
-338_0,24
-340_0,11
-3_0,24
-43_0,11
-462_0,12
-474_0,24
-588_0,28
-58_0,18
-592_0,29
-5_0,11
-60_0,11
-68_0,17
-71_0,17
-79_0,12
-844_0,16
-852_0,23
-854_0,12
-879_0,29
-92_0,29
-991_0,29
1000_0,12
1002_0,25
1004_0,12
1025_0,10
1034_0,13
109_0,12
1154_0,11
1168_0,12
1186_0,26
11_0,11
1209_0,24
1211_0,27
1242_0,25
1249_0,25
1257_0,11
131_0,26
144_0,17
1469_0,28
1470_0,18
148_0,12
1492_0,25
1595_0,17
1597_0,11
15_0,25
1604_0,16
1606_0,17
1614_0,11
172_0,12
1737_0,26
1739_0,12
1747_0,12
1755_0,17
1758_0,11
1766_0,24
1774_0,25
1775_0,27
1777_0,29
184_0,11
190_0,24
1915_0,25
1934_0,12
1939_0,17
1940_0,24
1946_0,25
1950_0,24
1956_0,29
1960_0,11
1962_0,24
196_0,25
1972_0,25
1974_0,12
1980_0,11
1987_0,27
1988_0,28
1992_0,30
1994_0,24
199_0,24
202_0,17
206_0,24
2126_0,12
2128_0,25
2138_0,12
2149_0,26
214_0,26
2165_0,24
2169_0,17
2173_0,11
2182_0,25
2192_0,12
2199_0,12
219_0,17
2213_0,25
2220_0,25
2228_0,29
2230_0,34
2232_0,12
2238_0,25
2243_0,12
2251_0,12
2271_0,12
2273_0,25
229_0,12
2316_0,26
27_0,11
334_0,25
338_0,24
340_0,11
3_0,24
43_0,11
462_0,12
474_0,24
588_0,28
58_0,18
592_0,29
5_0,11
60_0,11
68_0,17
71_0,17
79_0,12
844_0,16
852_0,23
854_0,12
879_0,28
92_0,30
991_0,29
